Category,Name,Phone,Google Maps URL,Website,email,Business Status,Address,Total Reviews,Booking Links,Rating,Hours
Bar Olahraga,Planet olahraga,,https://www.google.com/maps/place/Planet+olahraga/data=!4m7!3m6!1s0x2e69f3525ba5b915:0x8938a846b33dee77!8m2!3d-6.2959814!4d106.8890129!16s%2Fg%2F11vl527gxc!19sChIJFbmlW1LzaS4Rd-49s0aoOIk?authuser=0&hl=id&rclk=1,,,,,,,,
Bar Olahraga,Sanggar senam rambutan,,https://www.google.com/maps/place/Sanggar+senam+rambutan/data=!4m7!3m6!1s0x2e69e90038b0d9d5:0x5fb58f8e7e0ab36b!8m2!3d-6.4121875!4d106.7800625!16s%2Fg%2F11xygsj0ks!19sChIJ1dmwOADpaS4Ra7MKfo6PtV8?authuser=0&hl=id&rclk=1,,,,,(2),,"5,0 bintang",
Klub Biliar,H Billiard Bar&Cafe (BSD),,https://www.google.com/maps/place/H+Billiard+Bar%26Cafe+%28BSD%29/data=!4m7!3m6!1s0x2e69fb45b116a15f:0x55a9f3cbdfd36b62!8m2!3d-6.2853033!4d106.6375923!16s%2Fg%2F11wf_4bk51!19sChIJX6EWsUX7aS4RYmvT38vzqVU?authuser=0&hl=id&rclk=1,,,Buka⋅ Tutup pukul 02.00,,(718),,"5,0 bintang",Rabu12.00–02.00Kamis12.00–02.00Jumat12.00–02.00Sabtu12.00–02.00Minggu12.00–02.00Senin12.00–02.00Selasa12.00–02.00Sarankan jam buka baru
Bar,Brewerkz,,https://www.google.com/maps/place/Brewerkz/data=!4m7!3m6!1s0x2e69fb35649b3db7:0x3811e584aa52f24e!8m2!3d-6.3014525!4d106.653646!16s%2Fg%2F11c44dywrs!19sChIJtz2bZDX7aS4RTvJSqoTlETg?authuser=0&hl=id&rclk=1,,,Buka⋅ Tutup pukul 00.00,,(969),,"4,6 bintang",Rabu10.00–00.00Kamis10.00–00.00Jumat10.00–00.00Sabtu10.00–00.00Minggu11.00–00.00Senin10.00–00.00Selasa10.00–00.00Sarankan jam buka baru
Restoran Jerman,Paulaner Bräuhaus,,https://www.google.com/maps/place/Paulaner+Br%C3%A4uhaus/data=!4m7!3m6!1s0x2e69f5d31bed044f:0x104c0c0ef0821b4c!8m2!3d-6.1963902!4d106.8225851!16s%2Fg%2F1tq_yygq!19sChIJTwTtG9P1aS4RTBuC8A4MTBA?authuser=0&hl=id&rclk=1,,,Buka⋅ Tutup pukul 00.00,,(7.422),,"4,6 bintang",Rabu11.30–00.00Kamis11.30–00.00Jumat11.30–01.00Sabtu11.30–01.00Minggu11.30–00.00Senin11.30–00.00Selasa11.30–00.00Sarankan jam buka baru
Bar Olahraga,daina • RevoLuTioneR,,https://www.google.com/maps/place/daina+%E2%80%A2+RevoLuTioneR/data=!4m7!3m6!1s0x2e69f5599040bcab:0x7c749e815b02a5d0!8m2!3d-6.1938546!4d106.8991727!16s%2Fg%2F11svb80lhg!19sChIJq7xAkFn1aS4R0KUCW4GedHw?authuser=0&hl=id&rclk=1,,,Buka⋅ Tutup pukul 23.30,,(2),,"3,0 bintang",Rabu12.30–23.30Kamis12.30–23.30Jumat12.30–23.30Sabtu12.30–23.30MingguTutupSenin12.30–23.30Selasa12.30–23.30Sarankan jam buka baru
Bar Olahraga,SBR POOL,,https://www.google.com/maps/place/SBR+POOL/data=!4m7!3m6!1s0x2e69f10046c0ce2d:0x2718c9961ace6e3d!8m2!3d-6.2748607!4d106.7482737!16s%2Fg%2F11xmqflfm_!19sChIJLc7ARgDxaS4RPW7OGpbJGCc?authuser=0&hl=id&rclk=1,,,,,,,,
Bar,GODINSPIRITS SPORTS BAR,,https://www.google.com/maps/place/GODINSPIRITS+SPORTS+BAR/data=!4m7!3m6!1s0x2e69f5cef5ad8021:0xf96d4744f2f26280!8m2!3d-6.154141!4d106.852033!16s%2Fg%2F11vy0y6nhc!19sChIJIYCt9c71aS4RgGLy8kRHbfk?authuser=0&hl=id&rclk=1,,,Tutup⋅ Buka pukul 14.00,,(4),,"5,0 bintang",Rabu14.00–02.00Kamis14.00–00.00Jumat14.00–02.00Sabtu14.00–02.00Minggu14.00–00.00Senin14.00–00.00Selasa14.00–00.00Sarankan jam buka baru
Bar Olahraga,PTM PINEL,,https://www.google.com/maps/place/PTM+PINEL/data=!4m7!3m6!1s0x2e698b0008d4b6af:0xbac85499352d1208!8m2!3d-6.1976818!4d106.9403312!16s%2Fg%2F11vs2wx8gd!19sChIJr7bUCACLaS4RCBItNZlUyLo?authuser=0&hl=id&rclk=1,,,Buka 24 jam,,(6),,"5,0 bintang",RabuBuka 24 jamKamisBuka 24 jamJumatBuka 24 jamSabtuBuka 24 jamMingguBuka 24 jamSeninBuka 24 jamSelasaBuka 24 jamSarankan jam buka baru
Bar Olahraga,PTM SIGMA,,https://www.google.com/maps/place/PTM+SIGMA/data=!4m7!3m6!1s0x2e69f9005e1d96a1:0xdfc118c3366cbcf9!8m2!3d-6.1979242!4d106.6822071!16s%2Fg%2F11zhxs6f6c!19sChIJoZYdXgD5aS4R-bxsNsMYwd8?authuser=0&hl=id&rclk=1,,,Buka 24 jam,,,,,RabuBuka 24 jamKamisBuka 24 jamJumatBuka 24 jamSabtuBuka 24 jamMingguBuka 24 jamSeninBuka 24 jamSelasaBuka 24 jamSarankan jam buka baru
